when,stimType,stimPos,resp,rt,initWheelPos,finalWheelPos,tone,dist,cue,cuePos,trialNum,subj,phase,bias,sex,hand,age,acc,err
298378,Right,5,Right,831,-43,-37,Sound_1,Incongruent,y,5,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
306206,Left,8,Left,632,5,2,None,None,y,8,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
313835,Left,1,Left,765,38,29,None,Congruent,y,1,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
328894,Left,8,Left,696,-47,-43,Sound_1,Incongruent,y,8,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
336554,Left,4,Left,833,3,4,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
343883,Left,4,Left,998,-46,-40,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
354411,Right,6,Right,731,35,38,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
361606,Right,8,Right,799,-4,-1,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
368901,Right,7,Right,598,37,33,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
379827,Left,1,Left,664,-46,-45,Sound_1,Congruent,y,1,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
389621,Right,4,Right,599,36,33,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
399214,Left,8,Left,699,-52,-40,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
412240,Left,3,Left,765,49,48,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
425332,Left,3,Left,731,-38,-38,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
435059,Left,3,Left,900,53,47,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
444419,Right,6,Right,900,-50,-39,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
451815,Right,5,Right,797,6,4,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
463307,Right,3,None,1001,56,55,None,Congruent,y,3,1,ACC_1-1,experiment,acc,Female,Right,21,0,1
472636,Right,3,Right,564,-41,-36,Sound_1,Congruent,y,3,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
480163,Right,5,Right,598,7,2,Sound_1,None,y,5,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
487725,Left,5,Left,799,42,39,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
496986,Left,4,Left,964,-51,-44,Sound_1,Congruent,y,4,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
506947,Right,5,Right,700,54,49,None,Incongruent,y,5,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
514642,Left,2,Left,632,-10,-9,None,None,y,2,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
524770,Left,2,Left,864,43,42,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
532631,Right,3,Right,598,-5,0,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
540226,Right,6,Right,767,-47,-43,None,Incongruent,y,6,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
547988,Left,6,Left,665,3,0,None,Congruent,y,6,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
555650,Left,6,Left,498,-51,-49,Sound_1,None,y,6,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
565177,Left,4,Left,966,50,47,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
574738,Right,6,Right,765,-50,-52,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
584565,Right,2,Right,431,44,40,Sound_1,Congruent,y,2,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
592027,Left,6,Left,733,0,-6,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
599722,Right,1,Right,732,-47,-44,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
607584,Left,3,Left,866,-2,-8,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
614980,Right,1,Right,700,37,33,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
626340,Left,5,Left,732,-47,-37,None,Congruent,y,5,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
634235,Left,6,Left,867,-1,-6,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
641599,Right,4,Right,897,44,42,None,None,y,4,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
652692,Left,5,Left,534,-2,-5,None,None,y,5,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
660220,Right,8,Right,632,-50,-45,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
