when,stimType,stimPos,resp,rt,initWheelPos,finalWheelPos,tone,dist,cue,cuePos,trialNum,subj,phase,bias,sex,hand,age,acc,err
1044944,Right,7,Right,933,-2,0,None,Incongruent,y,7,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1052874,Left,5,Left,932,-53,-45,None,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1061403,Left,7,Left,699,5,0,Sound_1,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1069100,Right,4,Right,764,51,43,Sound_1,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1089123,Right,6,Right,838,-56,-39,None,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1097387,Left,3,Left,834,-6,-7,Sound_1,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1110845,Right,7,Right,772,37,43,Sound_1,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1118542,Right,1,Right,464,2,7,Sound_1,Congruent,y,1,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1132168,Left,6,Left,970,37,37,Sound_1,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1142930,Left,1,Left,799,-10,-9,None,Incongruent,y,1,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1150727,Right,3,Right,666,56,59,None,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1163786,Left,6,Left,731,-36,-37,Sound_1,None,y,6,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1174314,Right,4,Right,832,12,28,Sound_1,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1182143,Right,6,Right,700,47,57,None,Congruent,y,6,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1189939,Right,2,Right,565,2,19,Sound_1,None,y,2,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1205498,Right,3,Right,700,-62,-61,None,Incongruent,y,3,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1218458,Right,8,Right,568,38,44,Sound_1,Congruent,y,8,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1228020,Right,1,Right,702,-58,-61,None,Congruent,y,1,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1238014,Left,5,Left,967,-3,-6,None,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1248675,Left,3,Left,866,47,27,Sound_1,Congruent,y,3,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1258870,Left,2,Left,899,-56,-58,None,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1268331,Left,7,Left,698,58,66,Sound_1,Incongruent,y,7,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1278426,Left,4,Left,664,2,3,Sound_1,None,y,4,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1286421,Left,6,Left,865,-52,-61,None,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1299214,Right,3,Right,631,6,5,Sound_1,Incongruent,y,3,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1306811,Right,2,Right,735,-55,-46,Sound_1,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1315972,Left,1,Left,866,10,6,None,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1324901,Left,4,None,1001,-44,-29,Sound_1,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,0,1
1334562,Left,4,Left,766,7,-1,None,Incongruent,y,4,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1342325,Left,5,Left,933,61,67,None,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1350255,Right,5,Right,698,4,0,Sound_1,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1364979,Left,5,Left,699,-46,-56,None,Congruent,y,5,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1378105,Left,4,None,1001,41,34,None,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,0,1
1389599,Left,4,Left,632,0,3,Sound_1,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1401160,Left,2,Left,664,41,33,Sound_1,None,y,2,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1409055,Left,3,Left,801,5,1,None,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1416317,Left,8,Left,699,-55,-60,None,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1428610,Right,6,None,1001,48,39,None,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,0,1
1438806,Right,7,Right,764,-45,-35,Sound_1,None,y,7,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1446601,Right,3,Right,466,1,0,None,None,y,3,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1454163,Right,7,Right,733,43,35,None,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1461360,Right,8,Right,637,-3,-2,None,Congruent,y,8,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1468989,Right,7,Right,498,44,42,Sound_1,Incongruent,y,7,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1478849,Right,4,Right,931,-41,-35,Sound_1,None,y,4,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1492242,Left,4,None,1001,42,35,Sound_1,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,0,1
1499640,Left,5,Left,731,2,1,Sound_1,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1514263,Left,8,Left,732,-52,-60,Sound_1,Incongruent,y,8,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1532355,Left,6,Left,698,37,34,Sound_1,Congruent,y,6,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1541615,Left,8,Left,766,7,7,Sound_1,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1549378,Right,1,None,1001,-46,-46,None,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,0,1
1562504,Right,4,Right,866,58,44,None,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1570002,Right,6,Right,763,3,0,Sound_1,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1578461,Right,4,Right,631,53,53,Sound_1,Incongruent,y,4,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1588521,Right,5,Right,869,-57,-50,Sound_1,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1597917,Left,6,Left,599,12,10,None,Congruent,y,6,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1605779,Right,3,Right,465,46,48,Sound_1,None,y,3,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1615240,Right,8,Right,865,-40,-38,None,None,y,8,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1625501,Right,2,Right,732,37,39,None,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1633396,Right,1,Right,733,-6,-2,None,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1640593,Left,7,Left,597,-42,-41,None,None,y,7,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1648454,Left,8,Left,632,-2,-2,Sound_1,Congruent,y,8,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1656083,Right,1,Right,499,43,45,None,None,y,1,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1665579,Left,5,Left,663,-34,-37,Sound_1,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1673373,Right,7,Right,565,1,2,Sound_1,Congruent,y,7,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1681103,Right,5,Right,700,40,42,None,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1688565,Left,2,Left,665,10,0,None,None,y,2,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1696395,Right,3,Right,865,-32,-10,None,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1709054,Right,4,Right,505,46,43,None,None,y,4,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1716750,Left,1,Left,634,-3,1,Sound_1,None,y,1,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1726079,Left,3,Left,737,-48,-39,None,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1736039,Left,3,None,1001,46,34,None,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,0,1
1745003,Left,1,Left,763,-40,-43,Sound_1,Congruent,y,1,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1755429,Right,1,Right,699,6,11,Sound_1,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1763091,Right,5,Right,666,37,25,Sound_1,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1770820,Left,7,Left,732,0,0,None,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1781081,Left,1,None,1001,54,45,None,Congruent,y,1,1,ACC_2-1,experiment,acc,Female,Right,24,0,1
1790476,Left,1,Left,732,-52,-51,None,None,y,1,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1799038,Left,8,Left,699,0,0,None,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1806235,Left,6,Left,499,-41,-54,None,Incongruent,y,6,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1815696,Right,1,Right,868,41,42,None,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1823692,Left,5,Left,566,1,3,None,None,y,5,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1832755,Right,7,Right,698,40,38,None,None,y,7,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1842416,Right,3,Right,798,-36,-14,Sound_1,Congruent,y,3,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1850148,Right,2,Right,733,0,1,Sound_1,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1857875,Right,2,None,1001,-44,-33,None,Incongruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,0,1
1870537,Right,6,Right,762,1,3,Sound_1,Incongruent,y,6,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1878997,Right,4,None,1001,-53,-43,None,None,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,0,1
1894489,Right,5,Right,599,45,45,Sound_1,Congruent,y,5,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1904084,Right,4,Right,633,-49,-43,None,Congruent,y,4,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1915078,Left,6,Left,832,47,36,None,None,y,6,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1927504,Left,3,Left,667,-47,-45,Sound_1,Congruent,n,NA,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1935800,Left,5,Left,632,13,11,Sound_1,Congruent,y,5,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1947428,Left,3,Left,698,-45,-36,None,Incongruent,y,3,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1958122,Left,8,Left,799,47,32,Sound_1,None,y,8,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1965918,Right,4,Right,568,-4,2,Sound_1,Congruent,y,4,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1973482,Right,5,Right,599,-50,-41,None,None,y,5,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
1982543,Left,6,Left,535,2,4,Sound_1,Incongruent,y,6,1,ACC_2-1,experiment,acc,Female,Right,24,1,0
4164,Left,8,None,1001,-36,-33,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,0,1
11027,Right,1,Right,798,1,1,None,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
18622,Left,1,Left,697,-41,-16,Sound_1,Congruent,y,1,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
30647,Right,8,Right,601,51,40,None,Incongruent,y,8,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
38209,Left,8,Left,664,5,6,Sound_1,Congruent,y,8,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
45870,Right,1,Right,932,33,31,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
56663,Right,4,Right,666,5,4,Sound_1,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
64325,Left,2,Left,633,-50,-47,None,Congruent,y,2,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
71954,Left,2,Left,597,11,2,Sound_1,Congruent,y,2,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
79748,Right,4,Left,665,43,24,Sound_1,Incongruent,y,4,1,ACC_4-1,experiment,acc,Female,Right,21,0,1
87876,Left,6,Left,566,8,5,None,Congruent,y,6,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
99304,Right,2,Right,597,57,57,Sound_1,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
111528,Left,6,Left,498,-47,-42,None,Incongruent,y,6,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
119058,Right,5,Right,596,0,0,Sound_1,None,y,5,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
126652,Right,4,Right,498,46,44,None,None,y,4,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
163394,Left,3,Left,931,-38,-31,None,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
172554,Right,1,Right,632,4,7,Sound_1,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
180816,Right,8,Right,664,-35,-30,Sound_1,Incongruent,y,8,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
190143,Left,3,Left,665,1,-2,None,Congruent,y,3,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
197804,Right,4,Right,599,-45,-42,None,Congruent,y,4,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
207398,Left,1,Left,599,46,39,None,Congruent,y,1,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
216993,Right,6,Right,664,-49,-45,None,Incongruent,y,6,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
226653,Left,5,Left,665,36,35,Sound_1,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
237546,Right,2,Right,632,-39,-30,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
246640,Left,5,Left,733,37,38,None,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
255834,Left,4,Left,532,-35,-33,None,None,y,4,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
266460,Right,1,Right,632,31,32,Sound_1,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
276089,Right,5,Right,933,-38,-31,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
283649,Left,5,Left,566,5,1,Sound_1,Congruent,y,5,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
291211,Right,1,Right,699,-32,-29,None,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
303270,Left,7,Left,567,-1,0,None,Incongruent,y,7,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
310799,Right,3,Right,632,34,34,None,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
319993,Right,8,Right,770,-50,-49,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
332085,Left,3,Left,631,30,30,Sound_1,Congruent,y,3,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
351306,Right,4,Right,733,-39,-35,None,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
358501,Right,6,Right,633,3,1,None,None,y,6,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
366130,Right,6,Right,698,-47,-44,Sound_1,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
373792,Right,4,Right,565,2,4,None,Incongruent,y,4,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
381353,Left,2,Left,699,-33,-30,Sound_1,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
388981,Right,2,Right,732,0,1,Sound_1,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
397643,Left,7,Left,832,37,33,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
404940,Left,8,Left,797,3,1,Sound_1,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
413900,Left,8,Left,631,39,32,Sound_1,None,y,8,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
421528,Left,7,Left,665,0,2,None,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
428689,Right,5,Right,733,-36,-28,Sound_1,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
439949,Left,6,Left,700,6,3,Sound_1,Incongruent,y,6,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
449843,Right,7,Right,631,-35,-25,Sound_1,None,y,7,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
459470,Left,4,None,1001,46,43,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,0,1
466366,Right,7,Right,699,-1,8,None,Incongruent,y,7,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
474061,Left,7,Left,898,-41,-36,Sound_1,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
481956,Right,1,Right,566,7,7,None,Incongruent,y,1,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
489518,Right,1,Right,498,-40,-36,Sound_1,None,y,1,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
496980,Left,7,Left,698,1,1,Sound_1,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
504675,Right,2,Right,801,36,38,None,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
511970,Left,5,Left,732,1,4,None,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
519200,Left,4,Left,631,-48,-45,Sound_1,Congruent,y,4,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
528826,Right,3,Right,499,38,38,Sound_1,None,y,3,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
538354,Left,2,Left,598,-45,-43,Sound_1,Incongruent,y,2,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
547948,Left,2,Left,598,38,32,Sound_1,None,y,2,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
555577,Left,8,Left,699,3,3,None,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
562774,Left,2,Left,765,-43,-42,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
570035,Right,3,Right,665,7,7,Sound_1,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
577932,Right,2,Right,564,34,31,None,Incongruent,y,2,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
586326,Left,4,Left,666,6,4,Sound_1,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
594388,Left,7,Left,565,-52,-39,Sound_1,Congruent,y,7,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
605948,Left,8,Left,733,31,30,Sound_1,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
623304,Left,1,Left,732,-45,-43,Sound_1,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
631066,Left,7,Left,564,7,3,Sound_1,None,y,7,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
645325,Left,1,Left,798,32,32,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
654651,Left,5,Left,599,-43,-41,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
661713,Left,2,Left,732,-1,0,None,None,y,2,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
669409,Right,3,Right,698,-43,-42,Sound_1,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
679102,Right,1,Right,465,40,38,None,None,y,1,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
688563,Right,4,Right,631,-45,-40,Sound_1,None,y,4,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
697592,Right,3,Right,931,-8,0,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
705019,Left,4,Left,666,-52,-49,None,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
714181,Left,7,Left,533,45,42,Sound_1,Incongruent,y,7,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
723708,Left,3,Left,599,-49,-49,None,Incongruent,y,3,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
733303,Left,2,Left,731,38,32,Sound_1,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
741030,Right,3,Right,564,0,2,Sound_1,Incongruent,y,3,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
748591,Left,6,Left,599,-49,-46,Sound_1,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
756186,Right,5,Right,834,3,1,None,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
763516,Right,6,Left,666,30,28,None,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,0,1
772777,Right,6,Right,832,-3,2,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
780106,Left,1,Left,732,-41,-44,None,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
787302,Right,8,Right,532,1,0,None,Congruent,y,8,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
794830,Right,6,Right,899,-36,-37,None,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
802360,Left,1,Left,731,0,0,None,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
809888,Right,7,Right,636,-36,-34,None,Congruent,y,7,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
817550,Right,8,Right,602,-2,0,Sound_1,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
832641,Left,1,Left,634,42,42,Sound_1,Incongruent,y,1,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
840271,Right,7,Right,733,0,1,None,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
849597,Left,4,Left,634,33,33,None,Congruent,y,4,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
859192,Left,6,Left,398,-49,-51,Sound_1,None,y,6,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
868552,Right,3,Right,599,51,52,Sound_1,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
876114,Left,2,Left,699,-3,-2,Sound_1,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
883809,Right,8,Right,601,42,33,Sound_1,Congruent,y,8,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
893403,Left,5,Left,398,-36,-37,Sound_1,Incongruent,y,5,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
900832,Right,7,Right,732,1,0,Sound_1,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
908560,Right,4,Right,766,-42,-37,Sound_1,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
918354,Left,2,Left,733,36,34,None,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
925616,Left,3,Left,999,2,2,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
933479,Left,8,Left,632,41,41,None,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
940708,Right,5,Right,635,0,4,None,Congruent,y,5,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
948303,Right,5,Right,698,50,51,None,Incongruent,y,5,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
955998,Right,6,Right,698,0,3,Sound_1,Incongruent,y,6,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
963694,Right,7,Right,632,41,44,Sound_1,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
973321,Left,8,Left,731,-51,-50,Sound_1,Incongruent,y,8,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
983049,Right,4,Right,737,29,31,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
994775,Right,1,Right,565,-44,-41,None,Congruent,y,1,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1002405,Left,4,Left,698,1,1,None,Incongruent,y,4,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1010099,Right,7,Right,768,37,29,None,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1020260,Left,1,Right,467,-3,-1,None,Incongruent,y,1,1,ACC_4-1,experiment,acc,Female,Right,21,0,1
1027589,Right,2,Right,531,-45,-24,Sound_1,Incongruent,y,2,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1038149,Left,3,Left,733,4,-2,Sound_1,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1045845,Left,7,Left,599,54,50,Sound_1,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1055440,Left,6,Left,632,-53,-55,None,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1064535,Left,5,Left,565,39,37,Sound_1,None,y,5,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1072097,Left,6,Left,599,1,2,Sound_1,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1079693,Right,5,Right,566,41,41,Sound_1,Congruent,y,5,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1089254,Right,2,Right,599,-45,-44,Sound_1,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1096949,Right,8,Right,632,3,0,None,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1104078,Left,3,Left,633,37,34,Sound_1,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1113707,Left,8,Left,564,-42,-42,None,Congruent,y,8,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1121268,Left,5,Left,433,-1,-3,None,None,y,5,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1128697,Left,4,Left,733,-45,-45,Sound_1,Incongruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1140190,Left,6,Left,799,32,22,None,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1150117,Left,7,Left,401,-47,-44,None,None,y,7,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1157512,Right,8,Right,535,0,1,Sound_1,None,y,8,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1166707,Left,2,Left,831,29,29,None,Incongruent,y,2,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1184662,Left,2,Left,699,-1,4,None,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1192357,Left,5,Left,499,-33,-34,Sound_1,None,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1199885,Right,4,Right,766,0,0,None,Congruent,n,NA,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
1208114,Left,1,Left,565,-36,-38,None,None,y,1,1,ACC_4-1,experiment,acc,Female,Right,21,1,0
