subj,stimType,stimPos,resp,rt,initWheelPos,finalWheelPos,tone,flanker,cue,cuePos,trialNum,phase,bias,sex,hand,age,acc,err
RT_9-1,Left,3,Left,699,0,2,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,2,Left,666,-33,-31,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,6,Right,599,5,0,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,6,Right,499,-35,-34,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,5,Left,531,0,-3,Sound_1,Congruent,y,5,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,3,Left,599,30,30,None,None,y,3,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,4,Right,632,-5,-1,None,Incongruent,y,4,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,1,Left,766,-39,-39,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,3,Right,599,0,-2,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,3,Right,566,-32,-33,None,Incongruent,y,3,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,4,Left,498,36,34,None,Congruent,y,4,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,4,Right,567,-3,-1,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,1,Right,498,35,36,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,5,Left,533,5,-2,None,None,y,5,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,3,Left,533,-37,-39,Sound_1,None,y,3,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,6,Left,532,35,35,Sound_1,Congruent,y,6,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,8,Right,598,-4,0,None,Congruent,y,8,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,7,Left,499,37,37,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,4,Left,666,-31,-31,None,None,y,4,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,8,Right,563,35,37,Sound_1,Congruent,y,8,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,8,Right,499,-30,-30,None,None,y,8,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,6,Right,699,0,1,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,3,Left,665,-38,-38,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,5,Left,532,31,30,Sound_1,None,y,5,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,5,Right,466,-2,0,Sound_1,None,y,5,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,8,Left,533,34,32,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,4,Left,633,0,0,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,7,Right,531,-31,-30,Sound_1,None,y,7,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,5,Right,765,32,36,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,4,Right,565,-39,-37,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,7,Left,500,3,-3,None,Incongruent,y,7,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,8,Right,632,39,34,None,Incongruent,y,8,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,7,Right,566,-43,-44,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,4,Left,531,31,30,Sound_1,Incongruent,y,4,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,6,Right,499,-3,-2,None,None,y,6,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,5,Right,699,-34,-34,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,8,Right,599,35,32,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
